Lana	14:21 2/6/2022	164
Jim	14:24 2/6/2022	119
Tom	14:24 2/6/2022	96
Mike	14:30 2/6/2022	134
Tom	14:30 2/6/2022	110
Jim	14:31 2/6/2022	162
Tom	14:31 2/6/2022	109
Mike	14:33 2/6/2022	123
Tom	14:33 2/6/2022	131
Mike	14:35 2/6/2022	139
Jim	14:35 2/6/2022	141
Tom	15:13 2/6/2022	129
Mike	15:41 2/6/2022	163
Tom	15:41 2/6/2022	150
Tom	15:42 2/6/2022	144
Lana	15:42 2/6/2022	144
aasfasf	17:1 2/6/2022	123
fsdf	17:1 2/6/2022	98
aaaa	21:53 2/6/2022	145
aasfasf	21:53 2/6/2022	173
Mike	21:58 2/6/2022	127
Jim	21:58 2/6/2022	138
aasfasf	21:58 2/6/2022	154
fsdf	21:58 2/6/2022	181
TomH	22:9 2/6/2022	124
aaaa	22:9 2/6/2022	115
Mike	23:18 2/6/2022	104
Jim	23:18 2/6/2022	159
Tom	23:18 2/6/2022	103
Lana	23:18 2/6/2022	178
TomH	23:18 2/6/2022	113
a	23:18 2/6/2022	109
Mike	23:25 2/6/2022	151
Jim	23:25 2/6/2022	78
Mike	14:58 2/0/2022	139
Jim	14:58 2/0/2022	146
Mike	16:15 2/0/2022	175
Tom	16:15 2/0/2022	148
Jim	12:36 2/1/2022	143
Tom	12:36 2/1/2022	144
Mike	23:31 2/1/2022	127
Jim	23:31 2/1/2022	113
Mike	11:51 2/2/2022	124
Jim	11:51 2/2/2022	131
Jim	11:52 2/2/2022	125
Tom	11:52 2/2/2022	170
Mike	11:56 2/2/2022	114
Tom	11:57 2/2/2022	90
Lana	11:57 2/2/2022	107
Mike	12:13 2/2/2022	112
Jim	12:13 2/2/2022	160
Tom	12:17 2/2/2022	128
TomH	12:17 2/2/2022	130
Mike	12:21 2/2/2022	131
Jim	12:21 2/2/2022	116
Mike	12:25 2/2/2022	127
Jim	12:25 2/2/2022	150
Mike	12:32 2/2/2022	94
Tom	12:32 2/2/2022	137
Mike	12:36 2/2/2022	103
Lana	12:36 2/2/2022	156
Mike	12:39 2/2/2022	162
Jim	12:39 2/2/2022	135
Mike	12:42 2/2/2022	104
Lana	12:42 2/2/2022	144
Mike	12:48 2/2/2022	162
Jim	12:48 2/2/2022	143
Jim	13:2 2/2/2022	132
TomH	13:2 2/2/2022	103
Mike	13:21 2/2/2022	97
Jim	13:21 2/2/2022	95
Tom	13:21 2/2/2022	166
Lana	13:21 2/2/2022	111
